순번,시설명,폭원,연장,지번주소,경도,위도
1,소로1-금호12,10,73,대구광역시 북구 검단동 287-5,35.9226176,128.6188793
2,소로1-금호5,10,33,대구광역시 북구 검단동 464-4,35.9180915,128.6117924
3,소로1-금호7,10,34,대구광역시 북구 검단동 445-4,35.918729,128.6127848
4,소로1-금호9,10,35,대구광역시 북구 검단동 437-8,35.9194095,128.6138412
5,소로1-북41,10,59,대구광역시 북구 칠성동2가 32-23,35.8841666,128.5915591
6,소로1-칠(3)13,10,106,대구광역시 북구 동천동 951-4,35.9435912,128.5578658
7,소로1-칠(3)14,10,386,대구광역시 북구 동천동 896-6,35.9429179,128.5631987
8,소로1-칠(3)15,10,67,대구광역시 북구 동천동 894-2,35.9441901,128.5597614
9,소로1-칠(3)16,10,67,대구광역시 북구 동천동 897-4,35.9435214,128.5625296
10,소로1-칠(3)17,10,57,대구광역시 북구 구암동 767-3,35.9427557,128.5644604
11,소로1-칠택10,10,83,대구광역시 북구 관음동 1084-1,35.9440289,128.5418019
12,소로1-칠택8,10,109,대구광역시 북구 노원동1가 519-1,35.8861751,128.5799672
13,소로2-18,8,680,대구광역시 동구 신암동 189-8,35.8772541,128.6169334
14,소로2-29,8,214,대구광역시 북구 구암동 705,35.9257066,128.5574319
15,소로2-35,9.5,17,대구광역시 북구 구암동 554,35.9249612,128.5594435
16,소로2-36,9.5,29,대구광역시 북구 구암동 716,35.9285125,128.55277
17,소로2-37,9.5,25,대구광역시 북구 구암동 564-1,35.9249095,128.5578254
18,소로2-38,9.5,21,대구광역시 북구 구암동 711,35.9313747,128.5564208
19,소로2-도남20,8,31,대구광역시 북구 국우동 138,35.9540594,128.5839056
20,소로2-도남21,8,29,대구광역시 북구 국우동 150,35.953203,128.5844497
21,소로2-도남23,8,30,대구광역시 북구 국우동 146-4,35.9529218,128.5830966
22,소로2-도남24,8,30,대구광역시 북구 국우동 193,35.9524964,128.5832345
23,소로2-도남25,8,30,대구광역시 북구 국우동 192,35.952049,128.5832191
24,소로2-도남26,8,30,대구광역시 북구 국우동 239,35.9514783,128.5841432
25,소로2-도남27,8,30,대구광역시 북구 국우동 143,35.9532369,128.5833518
26,소로2-도남28,8,33,대구광역시 북구 국우동 149-1,35.9531618,128.5843305
27,소로2-칠(3)48,8,50,대구광역시 북구 동천동 907-6,35.9423084,128.5599657
28,소로2-칠(3)49,8,50,대구광역시 북구 동천동 911-9,35.9421253,128.5613817
29,소로2-칠(3)50,8,26,대구광역시 북구 구암동 815-15,35.9382219,128.5683438
30,소로3-75,6,59,대구광역시 북구 구암동 710,35.9247231,128.555526
31,소로3-76,6,30,대구광역시 북구 침산동 646-2,35.9001346,128.5886106
32,소로3-77,6,70,대구광역시 북구 관음동 159-1,35.9430951,128.5468873
33,소로3-도남1,6,16,대구광역시 북구 도남동 630,35.9601617,128.5872025
34,소로3-도남10,5,40,대구광역시 북구 도남동 633,35.9601875,128.5876455
35,소로3-도남11,4,16,대구광역시 북구 국우동 157-1,35.9547004,128.585615
36,소로3-도남13,4,18,대구광역시 북구 국우동 127,35.9556535,128.5863412
37,소로3-도남14,4,33,대구광역시 북구 도남동 681-3,35.9599756,128.5855912
38,소로3-도남2,4,14,대구광역시 북구 도남동 720-1,35.9598189,128.5834329
39,소로3-도남3,6,44,대구광역시 북구 국우동 193,35.9524964,128.5832345
40,소로3-도남4,6,54,대구광역시 북구 국우동 1056,35.952295,128.5839436
41,소로3-도남6,5,87,대구광역시 북구 국우동 1040,35.9572942,128.5882791
42,소로3-도남7,4,36,대구광역시 북구 국우동 128,35.9554331,128.586337
43,소로3-매1,4,507,대구광역시 북구 태전동 1101,35.9117722,128.5440587
44,소로3-매10,4,28,대구광역시 북구 매천동 683,35.9086502,128.5423909
45,소로3-매11,4,13,대구광역시 북구 매천동 675,35.9100426,128.542431
46,소로3-매12,6,130,대구광역시 북구 매천동 672,35.9093911,128.5441737
47,소로3-매13,6,67,대구광역시 북구 매천동 669-3,35.9106919,128.5438113
48,소로3-매2,4,24,대구광역시 북구 매천동 688,35.9082505,128.542899
49,소로3-매3,4,28,대구광역시 북구 읍내동 1118-12,35.9333338,128.5504493
50,소로3-매4,4,23,대구광역시 북구 태전동 1130,35.9100002,128.5480718
51,소로3-매5,4,25,대구광역시 북구 태전동 1160,35.9092484,128.5479578
52,소로3-매6,4,14,대구광역시 북구 태전동 1172,35.9090229,128.5471559
53,소로3-매7,4,181,대구광역시 북구 태전동 1179,35.9088901,128.5471646
54,소로3-매8,4,26,대구광역시 북구 매천동 703,35.9069771,128.5419048
55,소로3-매9,4,23,대구광역시 북구 매천동 694,35.9079513,128.542106
56,소로3-복6,6,88,대구광역시 북구 복현동 320-1,35.8952676,128.6196533
57,소로3-북148,3,39,대구광역시 북구 침산동 505-1,35.895305,128.5879711
58,소로3-북170,4.8,26,대구광역시 북구 매천동 370,35.9039352,128.5445152
59,소로3-북171,4,78,대구광역시 북구 매천동 296-1,35.9048532,128.545062
60,소로3-칠(2)24,6,30,대구광역시 북구 국우동 1079,35.9450851,128.565347
61,소로3-칠(2)25,6,30,대구광역시 북구 구암동 594,35.9247164,128.5545552
62,소로3-칠(2)26,6,30,대구광역시 북구 동천동 838-5,35.9415633,128.5572024
63,소로3-칠(2)27,6,30,대구광역시 북구 구암동 783-4,35.9409467,128.5698604
64,소로3-칠(2)28,6,30,대구광역시 북구 동천동 838-5,35.9415633,128.5572024
65,소로3-칠(2)29,6,45,대구광역시 북구 읍내동 587,35.9498694,128.5514266
66,소로3-칠(2)30,6,30,대구광역시 북구 구암동 802-1,35.9311463,128.5617578
67,소로3-칠(2)31,6,30,대구광역시 북구 태전2동 819,35.9125217,128.5491726
68,소로3-칠(2)32,6,28,대구광역시 북구 산격동 802-2,35.8976339,128.5946474
69,소로3-칠(2)33,6,28,대구광역시 북구 구암동 793-3,35.9332483,128.5626469
70,소로3-칠(2)34,6,243,대구광역시 북구 구암동 748,35.9248231,128.5558399
71,소로3-칠(2)35,6,63,대구광역시 북구 구암동 675-8,35.9251165,128.5546209
72,소로3-칠(2)36,6,21,대구광역시 북구 구암동 670-2,35.925533,128.5509875
73,소로3-칠(2)37,6,21,대구광역시 북구 구암동 668-1,35.9261384,128.5517574
74,소로3-칠(2)38,6,41,대구광역시 북구 구암동 673,35.9262583,128.5540707
75,소로3-칠(2)39,6,15,대구광역시 북구 구암동 753,35.9259826,128.5576646
76,소로3-칠(3)10,6,18,대구광역시 북구 동천동 916-6,35.939533,128.5589022
77,소로3-칠(3)11,6,10,대구광역시 북구 동천동 916-7,35.9394993,128.558281
78,소로3-칠(3)12,6,10,대구광역시 북구 동천동 917-9,35.9392826,128.5599383
79,소로3-칠(3)13,6,14,대구광역시 북구 동천동 928-9,35.9376091,128.5572067
80,소로3-칠(3)14,6,33,대구광역시 북구 동천동 929-5,35.9373609,128.5577402
81,소로3-칠(3)15,6,26,대구광역시 북구 동천동 923-8,35.9373206,128.5594775
82,소로3-칠(3)16,6,15,대구광역시 북구 동천동 932-16,35.9367962,128.5566962
83,소로3-칠(3)17,6,32,대구광역시 북구 동천동 932-8,35.9368495,128.5576453
84,소로3-칠(3)18,6,31,대구광역시 북구 동천동 940-11,35.9363589,128.5587
85,소로3-칠(3)19,6,12,대구광역시 북구 동천동 941-14,35.936107,128.5593237
86,소로3-칠(3)2,6,31,대구광역시 북구 국우동 1081-14,35.9467902,128.5708046
87,소로3-칠(3)20,6,13,대구광역시 북구 동천동 937-6,35.9359276,128.5572873
88,소로3-칠(3)21,6,13,대구광역시 북구 동천동 941-7,35.9352964,128.5587459
89,소로3-칠(3)22,6,13,대구광역시 북구 동천동 947-9,35.9346172,128.5562372
90,소로3-칠(3)23,6,30,대구광역시 북구 구암동 813-6,35.9374162,128.5682573
91,소로3-칠(3)24,6,26,대구광역시 북구 구암동 816-4,35.9369541,128.5674921
92,소로3-칠(3)25,6,26,대구광역시 북구 구암동 817-6,35.9363284,128.5670709
93,소로3-칠(3)26,6,23,대구광역시 북구 구암동 824-7,35.9355304,128.566695
94,소로3-칠(3)27,6,17,대구광역시 북구 구암동 826-8,35.9338568,128.5663514
95,소로3-칠(3)28,6,35,대구광역시 북구 구암동 790-6,35.9325126,128.5619982
96,소로3-칠(3)29,6,16,대구광역시 북구 구암동 792-19,35.9315996,128.5619574
97,소로3-칠(3)3,6,30,대구광역시 북구 국우동 1084-4,35.9459224,128.5701325
98,소로3-칠(3)30,6,32,대구광역시 북구 구암동 800-10,35.9320227,128.5645546
99,소로3-칠(3)4,6,33,대구광역시 북구 국우동 1089-6,35.9448243,128.5722452
100,소로3-칠(3)5,6,23,대구광역시 북구 국우동 1102-1,35.9449198,128.5728844
101,소로3-칠(3)6,6,28,대구광역시 북구 국우동 1097-2,35.9444374,128.570254
102,소로3-칠(3)7,6,25,대구광역시 북구 국우동 1099-8,35.9436089,128.5698878
103,소로3-칠(3)8,6,27,대구광역시 북구 국우동 1103-1,35.9439228,128.5737132
104,소로3-칠(3)9,6,32,대구광역시 북구 국우동 1112-11,35.9479466,128.5760891
105,소로3-칠110,6,31,대구광역시 북구 태전동 1204,35.9231092,128.5523683
106,소로3-칠111,4,42,대구광역시 북구 태전동 1211,35.9215781,128.5511089
107,소로3-칠112,4,22,대구광역시 북구 태전동 1206,35.9218175,128.5505616
108,소로3-칠택124 ,4,17,대구광역시 북구 태전동 995-5,35.9308834,128.5489048
109,소로3-칠택127,4,21,대구광역시 북구 태전동 957-5,35.9299738,128.5467104
110,소로3-칠택128,4,21,대구광역시 북구 태전동 957-8,35.9297846,128.5466795
111,소로3-칠택134,4,18,대구광역시 북구 태전동 1053-10,35.9265909,128.5489247
112,소로3-학1,6,30,대구광역시 북구 학정동 373-1,35.9558116,128.5659757
113,소로3-학2,6,20,대구광역시 북구 학정동 286-2,35.9515413,128.5652499
114,소로3-학3,6,20,대구광역시 북구 학정동 286-2,35.9515413,128.5652499
115,소로3-학4,6,30,대구광역시 북구 학정동 272,35.950181,128.5649655
116,소로3-학5,6,30,대구광역시 북구 학정동 272,35.950181,128.5649655
117,소로3-학6,6,21,대구광역시 북구 구암동 694-1,35.9282215,128.5578186
118,중로2-200,15,397,대구광역시 북구 동천동 914-2,35.9394607,128.5607162
119,중로2-201,15,432,대구광역시 북구 구암동 785-4,35.9388345,128.5669015
120,중로3-85,12,10,대구광역시 북구 읍내동 707-1,35.9469905,128.5456287